token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
86958,ETERNAL27JAN26350PE,ETERNAL,27JAN2026,35000.000000,2425,OPTSTK,NFO,5.000000
87141,EXIDEIND27JAN26310CE,EXIDEIND,27JAN2026,31000.000000,1800,OPTSTK,NFO,5.000000
87143,EXIDEIND27JAN26320CE,EXIDEIND,27JAN2026,32000.000000,1800,OPTSTK,NFO,5.000000
87147,EXIDEIND27JAN26330CE,EXIDEIND,27JAN2026,33000.000000,1800,OPTSTK,NFO,5.000000
87186,CROMPTON27JAN26265PE,CROMPTON,27JAN2026,26500.000000,1800,OPTSTK,NFO,5.000000
87205,EXIDEIND27JAN26430CE,EXIDEIND,27JAN2026,43000.000000,1800,OPTSTK,NFO,5.000000
70957,AUROPHARMA27JAN261210CE,AUROPHARMA,27JAN2026,121000.000000,550,OPTSTK,NFO,5.000000
70959,AUROPHARMA27JAN261230CE,AUROPHARMA,27JAN2026,123000.000000,550,OPTSTK,NFO,5.000000
70972,AUROPHARMA27JAN261350PE,AUROPHARMA,27JAN2026,135000.000000,550,OPTSTK,NFO,5.000000
71180,BHARATFORG27JAN261360PE,BHARATFORG,27JAN2026,136000.000000,500,OPTSTK,NFO,5.000000
71185,BHARATFORG27JAN261480CE,BHARATFORG,27JAN2026,148000.000000,500,OPTSTK,NFO,5.000000
71187,BHARATFORG27JAN261520CE,BHARATFORG,27JAN2026,152000.000000,500,OPTSTK,NFO,5.000000
71192,BHARATFORG27JAN261600PE,BHARATFORG,27JAN2026,160000.000000,500,OPTSTK,NFO,5.000000
87483,CUMMINSIND27JAN264250CE,CUMMINSIND,27JAN2026,425000.000000,200,OPTSTK,NFO,5.000000
87485,CUMMINSIND27JAN264350CE,CUMMINSIND,27JAN2026,435000.000000,200,OPTSTK,NFO,5.000000
87637,DABUR27JAN26445PE,DABUR,27JAN2026,44500.000000,1250,OPTSTK,NFO,5.000000
71574,BHARTIARTL27JAN261880PE,BHARTIARTL,27JAN2026,188000.000000,475,OPTSTK,NFO,5.000000
71651,BHARTIARTL27JAN262040PE,BHARTIARTL,27JAN2026,204000.000000,475,OPTSTK,NFO,5.000000
87643,FEDERALBNK27JAN26235PE,FEDERALBNK,27JAN2026,23500.000000,5000,OPTSTK,NFO,5.000000
87654,FEDERALBNK27JAN26265CE,FEDERALBNK,27JAN2026,26500.000000,5000,OPTSTK,NFO,5.000000
87662,FEDERALBNK27JAN26280CE,FEDERALBNK,27JAN2026,28000.000000,5000,OPTSTK,NFO,5.000000
87663,FEDERALBNK27JAN26280PE,FEDERALBNK,27JAN2026,28000.000000,5000,OPTSTK,NFO,5.000000
71719,BHARTIARTL27JAN262400CE,BHARTIARTL,27JAN2026,240000.000000,475,OPTSTK,NFO,5.000000
71817,AMBER27JAN267300PE,AMBER,27JAN2026,730000.000000,100,OPTSTK,NFO,5.000000
71821,AMBER27JAN267700PE,AMBER,27JAN2026,770000.000000,100,OPTSTK,NFO,5.000000
71980,BHEL27JAN26230PE,BHEL,27JAN2026,23000.000000,2625,OPTSTK,NFO,5.000000
87679,DABUR27JAN26535PE,DABUR,27JAN2026,53500.000000,1250,OPTSTK,NFO,5.000000
87682,DABUR27JAN26555CE,DABUR,27JAN2026,55500.000000,1250,OPTSTK,NFO,5.000000
71982,BHEL27JAN26235PE,BHEL,27JAN2026,23500.000000,2625,OPTSTK,NFO,5.000000
88079,FORTIS27JAN261100CE,FORTIS,27JAN2026,110000.000000,775,OPTSTK,NFO,5.000000
88416,DELHIVERY27JAN26445CE,DELHIVERY,27JAN2026,44500.000000,2075,OPTSTK,NFO,5.000000
88422,CROMPTON27JAN26227.5CE,CROMPTON,27JAN2026,22750.000000,1800,OPTSTK,NFO,5.000000
72301,AMBUJACEM27JAN26495PE,AMBUJACEM,27JAN2026,49500.000000,1050,OPTSTK,NFO,5.000000
72314,AMBUJACEM27JAN26555CE,AMBUJACEM,27JAN2026,55500.000000,1050,OPTSTK,NFO,5.000000
72352,AMBUJACEM27JAN26605CE,AMBUJACEM,27JAN2026,60500.000000,1050,OPTSTK,NFO,5.000000
72358,AMBUJACEM27JAN26615CE,AMBUJACEM,27JAN2026,61500.000000,1050,OPTSTK,NFO,5.000000
88428,CROMPTON27JAN26242.5CE,CROMPTON,27JAN2026,24250.000000,1800,OPTSTK,NFO,5.000000
88481,CROMPTON27JAN26267.5PE,CROMPTON,27JAN2026,26750.000000,1800,OPTSTK,NFO,5.000000
88650,GAIL27JAN26170CE,GAIL,27JAN2026,17000.000000,3150,OPTSTK,NFO,1.000000
88896,DIVISLAB27JAN266350CE,DIVISLAB,27JAN2026,635000.000000,100,OPTSTK,NFO,5.000000
88901,DIVISLAB27JAN266550PE,DIVISLAB,27JAN2026,655000.000000,100,OPTSTK,NFO,5.000000
72607,ANGELONE27JAN262550PE,ANGELONE,27JAN2026,255000.000000,250,OPTSTK,NFO,5.000000
72629,BIOCON27JAN26330PE,BIOCON,27JAN2026,33000.000000,2500,OPTSTK,NFO,5.000000
72642,BIOCON27JAN26390PE,BIOCON,27JAN2026,39000.000000,2500,OPTSTK,NFO,5.000000
72653,BIOCON27JAN26450CE,BIOCON,27JAN2026,45000.000000,2500,OPTSTK,NFO,5.000000
89053,GLENMARK27JAN262000CE,GLENMARK,27JAN2026,200000.000000,375,OPTSTK,NFO,5.000000
89054,GLENMARK27JAN262000PE,GLENMARK,27JAN2026,200000.000000,375,OPTSTK,NFO,5.000000
89058,GLENMARK27JAN262080PE,GLENMARK,27JAN2026,208000.000000,375,OPTSTK,NFO,5.000000
72795,APLAPOLLO27JAN261740PE,APLAPOLLO,27JAN2026,174000.000000,350,OPTSTK,NFO,5.000000
72798,APLAPOLLO27JAN261820CE,APLAPOLLO,27JAN2026,182000.000000,350,OPTSTK,NFO,5.000000
72814,APLAPOLLO27JAN262020CE,APLAPOLLO,27JAN2026,202000.000000,350,OPTSTK,NFO,5.000000
89061,GLENMARK27JAN262160CE,GLENMARK,27JAN2026,216000.000000,375,OPTSTK,NFO,5.000000
72944,BLUESTARCO27JAN261440PE,BLUESTARCO,27JAN2026,144000.000000,325,OPTSTK,NFO,5.000000
72960,BLUESTARCO27JAN261760PE,BLUESTARCO,27JAN2026,176000.000000,325,OPTSTK,NFO,5.000000
89209,DIXON27JAN2610250PE,DIXON,27JAN2026,1025000.000000,50,OPTSTK,NFO,5.000000
89228,DIXON27JAN2612250CE,DIXON,27JAN2026,1225000.000000,50,OPTSTK,NFO,5.000000
89287,DIXON27JAN2612250PE,DIXON,27JAN2026,1225000.000000,50,OPTSTK,NFO,5.000000
89396,DIXON27JAN2612750PE,DIXON,27JAN2026,1275000.000000,50,OPTSTK,NFO,5.000000
89408,DIXON27JAN2614250PE,DIXON,27JAN2026,1425000.000000,50,OPTSTK,NFO,5.000000
89486,GMRAIRPORT27JAN2696CE,GMRAIRPORT,27JAN2026,9600.000000,6975,OPTSTK,NFO,1.000000
72979,BLUESTARCO27JAN262080CE,BLUESTARCO,27JAN2026,208000.000000,325,OPTSTK,NFO,5.000000
72981,BLUESTARCO27JAN262120CE,BLUESTARCO,27JAN2026,212000.000000,325,OPTSTK,NFO,5.000000
73130,APOLLOHOSP27JAN266550PE,APOLLOHOSP,27JAN2026,655000.000000,125,OPTSTK,NFO,5.000000
73389,BOSCHLTD27JAN2630000CE,BOSCHLTD,27JAN2026,3000000.000000,25,OPTSTK,NFO,5.000000
